Date,South Influent Flow,Vista Guage Level (feet),Vista Gauge Elevation (feet),Vista Gauge Predicted Max Level (feet),Vista Gauge Predicted Max Elevation (feet),South Manhole Level (feet),Flow1 (cfs),Flow2 (cfs),Flow3 (cfs),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/24/17,16.34,5.8867708,4376.78671,6.935347,4377.835348,12.67280677,802,108,1010,0,0,3.1
1/25/17,16.10,5.53107636,4376.431006,6.64717,4377.547133,10.67913315,700,85.4,888,0,0,2
1/26/17,15.97,5.43508679,4376.335003,6.51,4377.409668,10.54369288,671,80.1,856,0,0.1,2
1/27/17,15.72,5.21244791,4376.112361,6.413906,4377.313703,9.40910669,589,73.6,783,0,0,1.2
1/28/17,15.05,5.0245312,4375.924482,6.136684,4377.036628,12.64557068,538,68.8,726,0,0,0
1/29/17,16.19,4.98677078,4375.886729,5.887413,4376.787272,14.12109476,525,67.4,713,0,0,0
1/30/17,16.87,4.94229159,4375.842275,6.066667,4376.966634,10.99232375,510,68.6,699,0,0,0
1/31/17,14.42,4.87072915,4375.770652,6.2,4377.100098,10.67491633,492,70.2,677,0,0,0
2/1/17,15.40,4.8837847,4375.783705,6.08125,4376.981232,10.30850623,493,69.6,681,0,0,0
2/2/17,15.13,4.8664063,4375.766257,6.163542,4377.063604,9.84281739,488,69.8,675,0.01,0,0
2/3/17,15.11,5.38526036,4376.285225,6.51684,4377.416757,8.63909273,704,92.5,860,0.06,0,0
2/4/17,14.58,6.22239591,4377.122217,8.123785,4379.023527,10.69763142,893,158,1130,0,0,0
2/5/17,16.16,5.76710065,4376.667047,8.6125,4379.512329,10.64444011,756,113,959,0,0,0
2/6/17,15.63,5.88774298,4376.787726,9.404166,4380.304006,8.66608365,900,103,1020,0,0,0
2/7/17,15.87,9.8679861,4380.767921,12.41372,4383.313649,12.78801153,2920,431,3320,0.31,0,0
2/8/17,16.74,12.22656249,4383.126418,14.39549,4385.295416,8.48404441,4370,515,4830,0.01,0,0
2/9/17,15.72,14.85711814,4385.757028,16.13854,4387.038411,10.93337103,6910,687,6830,0.25,0,0
2/10/17,24.69,16.78958335,4387.689519,17.22257,4388.122492,21.47957173,7820,1090,8390,0.3,0,0
2/11/17,19.77,12.6819445,4383.581851,13.29792,4384.197843,13.01945543,5320,583,5430,0,0,0
2/12/17,17.59,8.0607639,4378.960692,12.6059,4383.505804,10.81576654,4960,347,4850,0,0,0
2/13/17,17.21,10.47621525,4381.376123,11.96649,4382.866465,9.84853188,4580,235,4290,0,0,0
2/14/17,16.03,10.87256948,4381.772514,11.57517,4382.475093,11.05839185,4150,183,3770,0,0,0
2/15/17,16.72,10.24173612,4381.141601,11.40538,4382.305211,10.78969354,3700,186,3300,0,0,0
2/16/17,15.27,9.09607642,4379.996005,11.1276,4382.027412,10.77524458,3120,152,2600,0,0,0
2/17/17,16.52,9.15272571,4380.052659,10.76563,4381.665405,10.74651627,3130,160,2630,0.21,0,0
2/18/17,16.12,9.11532993,4380.015218,11.92135,4382.821117,12.36493826,3100,156,2600,0.01,0,0
2/19/17,16.65,8.86817704,4379.768038,13.24583,4384.14561,11.2180236,3000,130,2450,0,0,0
2/20/17,18.91,10.2069271,4381.106803,14.27882,4385.178758,13.29680281,3720,327,3410,1.05,0,0
2/21/17,21.87,13.46597214,4384.36587,13.47135,4384.371186,21.00174803,4560,826,5690,1.12,3.1,0
2/22/17,22.21,11.33802086,4382.237915,11.54983,4382.449652,20.45374404,3690,491,4070,0.05,0.6,3.9
2/23/17,21.11,10.16980906,4381.069645,10.34271,4381.2427,14.03618768,3450,283,3260,0.01,0,0
2/24/17,19.50,9.4492361,4380.349104,9.556944,4380.456918,11.7229646,3140,208,2780,0,0,0
2/25/17,18.13,8.77635414,4379.676288,8.747917,4379.647912,12.31299523,2840,157,2390,0.03,0.1,0
2/26/17,18.81,8.59475701,4379.494645,8.437847,4379.337689,14.96251207,2740,140,2280,0,0,0
2/27/17,18.76,8.38496478,4379.28488,8.329225,4379.229022,12.7997593,2600,133,2160,0,0,0
2/28/17,16.39,7.88954866,4378.78943,7.987674,4378.887564,11.18169313,2350,111,1870,0,0,0
3/1/17,17.64,7.67515626,4378.575051,7.851042,4378.750812,12.23491073,2250,102,1750,0,0,0
3/2/17,16.55,7.567916688,4378.467797,7.877083,4378.776866,10.44898558,2200,99,1690,0,0,0
3/3/17,16.85,7.575503519,4378.475358,7.833681,4378.733461,9.950701566,2190,99.4,1690,0,0,0
3/4/17,15.52,7.480243022,4378.38018,7.723785,4378.623733,10.80760273,2140,101,1640,0,0,0
3/5/17,18.54,7.598194463,4378.498078,7.644097,4378.54414,13.53979664,2160,131,1700,0.34,2.9,0
3/6/17,17.12,7.379635389,4378.279566,7.728125,4378.62806,9.546783869,2080,112,1580,0,0,0
3/7/17,15.76,7.312882024,4378.212702,7.813021,4378.712795,11.44672082,2050,105,1550,0,0,0
3/8/17,16.49,7.35338541,4378.253294,7.938368,4378.838264,10.35350658,2060,133,1570,0,0,0
3/9/17,15.58,7.450972212,4378.350885,7.910417,4378.810232,10.39686087,2110,140,1620,0,0,0
3/10/17,15.60,7.595989623,4378.495851,7.828299,4378.728033,11.45345425,2180,143,1690,0,0,0
3/11/17,15.16,7.585277816,4378.485141,7.848785,4378.748553,12.01172413,2190,139,1690,0,0,0
3/12/17,16.31,7.779474672,4378.679342,7.924275,4378.824146,11.46531655,2270,141,1800,0,0,0
3/13/17,16.16,7.971961774,4378.871917,7.986111,4378.886013,9.552841065,2390,140,1900,0,0,0
3/14/17,14.70,8.187881983,4379.087825,8.212847,4379.112752,10.32428843,2540,145,2040,0,0,0
3/15/17,15.02,8.67701394,4379.576889,8.723958,4379.623783,9.512548457,2840,160,2340,0,0,0
3/16/17,15.06,9.509878427,4380.409758,9.561632,4380.461597,9.731333452,3300,197,2830,0,0,0
3/17/17,15.21,10.56232637,4381.462172,11.75156,4382.651509,9.801334374,3990,197,3570,0,0,0
3/18/17,12.67,11.48263872,4382.382524,12.72812,4383.628116,10.87335505,4510,195,4180,0,0,0
3/19/17,14.29,11.75169671,4382.651544,13.268,4384.168098,10.46078463,4620,200,4360,0,0,0
3/20/17,13.82,11.90034694,4382.800152,13.35712,4384.257178,9.505049979,4740,211,4520,0,0,0
3/21/17,14.34,12.78784734,4383.687801,14.13663,4385.036546,9.86798973,5550,252,5340,0.32,0,0
3/22/17,13.70,13.09565982,4383.995596,13.53663,4384.436589,10.58834805,5540,218,5430,0,0,0
3/23/17,14.25,12.62760407,4383.527459,12.24097,4383.140848,9.338910795,5290,183,5100,0,0,0
3/24/17,14.09,12.07638899,4382.976207,11.9724,4382.87235,9.070447829,4910,166,4710,0,0,0
3/25/17,14.01,11.40746526,4382.307411,11.59705,4382.497065,8.956328478,4450,162,4200,0,0,0
3/26/17,13.41,11.08229165,4381.982274,11.31094,4382.210694,9.74612417,4280,167,3970,0.06,0,0
3/27/17,14.24,10.92413206,4381.824073,10.94705,4381.846837,10.31985002,4150,165,3850,0.02,0,0
3/28/17,14.28,10.421875,4381.321764,10.92865,4381.828478,9.846531895,3850,160,3500,0,0,0
3/29/17,13.92,10.09131962,4380.99126,10.75816,4381.658183,9.108596112,3660,170,3290,0,0,0
3/30/17,13.73,10.52447927,4381.424344,10.87396,4381.77391,10.53963156,3850,179,3620,0.13,0,0
3/31/17,13.16,10.47187501,4381.371741,10.63663,4381.536548,9.520909571,3760,165,3530,0,0,0
4/1/17,14.19,10.25190973,4381.151805,10.6,4381.5,9.311171383,3680,163,3400,0,0,0
4/2/17,13.26,10.31284732,4381.212575,10.84427,4381.74427,9.414819903,3740,174,3470,0,0,0
4/3/17,15.00,10.70121523,4381.60116,11.52569,4382.425591,8.549357965,3900,188,3750,0,0,0
4/4/17,13.17,10.80798613,4381.707764,12.18733,4383.087155,8.961718364,3900,198,3810,0,0,0
4/5/17,13.78,10.90052051,4381.800326,12.89913,4383.799042,8.955851077,3990,195,3880,0,0,0
4/6/17,12.53,11.2954861,4382.195503,13.89184,4384.791641,9.465965847,4360,262,4220,0.23,0,0
4/7/17,15.97,13.25104173,4384.150916,13.93993,4384.839822,9.922158326,5690,531,5680,0.11,0,0
4/8/17,13.88,13.14756942,4384.047415,12.97726,4383.877113,11.42181697,5390,505,5510,0.22,0,0
4/9/17,15.31,12.32135414,4383.221258,12.42292,4383.322787,11.88156567,4730,277,4920,0,0,0
4/10/17,15.41,11.6703125,4382.570129,12.1033,4383.003154,9.812684307,4250,223,4420,0,0,0
4/11/17,13.60,11.05555556,4381.955515,11.94143,4382.841177,9.976865607,3890,206,3970,0,0,0
4/12/17,14.01,10.92847232,4381.828351,12.0033,4382.903097,9.225870369,3900,205,3930,0.01,0,0
4/13/17,13.11,11.56684027,4382.466794,11.86042,4382.760183,9.501100959,4300,212,4430,0.03,0,0
4/14/17,14.77,11.63739142,4382.537368,12.15704,4383.056841,10.12317038,4220,207,4430,0,0,0
4/15/17,13.47,11.48715273,4382.387043,12.41788,4383.317746,9.17002012,4130,197,4320,0,0,0
4/16/17,14.02,11.36684009,4382.266613,12.71441,4383.614254,9.890795842,4130,197,4230,0.01,0,0
4/17/17,13.97,11.67187504,4382.57175,12.70833,4383.60813,8.72694054,4290,206,4490,0,0,0
4/18/17,13.83,12.36527779,4383.265219,12.71701,4383.616806,8.960699886,4780,203,5040,0.04,0,0
4/19/17,13.35,12.64565984,4383.545704,12.82708,4383.726984,8.946217467,4980,200,5200,0,0,0
4/20/17,13.80,12.54548628,4383.445433,13.02934,4383.929271,9.152634822,4890,206,5120,0,0,0
4/21/17,13.69,12.36006933,4383.259835,13.55816,4384.457968,9.391130789,4740,218,4980,0,0,0
4/22/17,13.73,12.64913183,4383.54917,13.30972,4384.209615,9.696307144,5080,232,5220,0,0,0
4/23/17,13.94,12.96684017,4383.86671,13.17483,4384.074703,9.693322073,5230,220,5420,0,0,0
4/24/17,14.67,12.9746529,4383.87453,13.23229,4384.13217,10.18159811,5180,208,5410,0,0,0
4/25/17,13.37,12.67579512,4383.575715,13.13816,4384.038245,10.30957509,4900,205,5200,0,0,0
4/26/17,15.01,12.55642383,4383.456381,13.31771,4384.217668,9.389785712,4890,219,5140,0,0,0
4/27/17,13.97,13.17048622,4384.070286,13.83299,4384.732751,8.701511331,5410,229,5590,0.03,0,0
4/28/17,14.13,13.32743043,4384.227245,13.91788,4384.817775,9.595168137,5510,233,5670,0,0,0
4/29/17,13.33,13.44149283,4384.341338,14.35365,4385.253667,10.06960433,5650,235,5730,0,0,0
4/30/17,14.68,13.36631926,4384.266091,14.80625,4385.706228,9.967500875,5590,233,5700,0,0,0
5/1/17,14.75,13.51076393,4384.410677,14.96354,4385.863405,9.059131543,5700,244,5790,0,0,0
5/2/17,13.43,13.43906251,4384.338905,14.54948,4385.449291,8.539570867,5640,254,5740,0,0,0
5/3/17,13.07,13.39201384,4384.291883,13.64861,4384.548645,8.097384095,5590,258,5700,0,0,0
5/4/17,12.85,13.36052626,4384.260343,14.28333,4385.183338,9.030233013,5610,262,5700,0,0,0
5/5/17,13.86,13.66180567,4384.561684,14.58299,4385.482877,8.22914293,5850,283,5910,0,0,0
5/6/17,11.95,13.76024306,4384.660103,14.80729,4385.707056,10.61475433,5770,362,5970,0.57,0,0
5/7/17,15.48,13.48003469,4384.379929,14.24757,4385.147512,13.45413468,5480,431,5760,0.04,0,0
5/8/17,15.13,13.43663178,4384.336472,14.64236,4385.542402,9.644359935,5600,349,5740,0,0,0
5/9/17,13.64,13.4749999,4384.374878,14.75278,4385.652649,8.773764782,5650,276,5780,0,0,0
5/10/17,12.97,13.32829854,4384.228188,14.17378,4385.073586,9.085285892,5520,277,5670,0,0,0
5/11/17,13.81,13.45902784,4384.358899,13.91615,4384.815966,8.765069463,5680,292,5770,0,0,0
5/12/17,12.66,13.49218731,4384.392062,13.54514,4384.445106,9.677203543,5680,293,5780,0,0,0
5/13/17,14.12,13.22831202,4384.128174,13.4971,4384.39702,11.04304608,5420,298,5600,0,0,0
5/14/17,14.34,12.72118053,4383.621006,13.03472,4383.934494,11.08525634,5050,303,5250,0,0,0
5/15/17,14.64,12.10434019,4383.004203,12.75694,4383.65685,9.913663326,4610,301,4790,0,0,0
5/16/17,14.00,11.54045143,4382.440393,12.86146,4383.761394,8.658344251,4300,284,4380,0,0,0
5/17/17,13.90,11.57395839,4382.473933,13.29896,4384.198828,8.845427805,4270,269,4450,0,0,0
5/18/17,14.18,11.60000038,4382.5,13.49653,4384.396473,8.876766063,4330,256,4450,0,0,0
5/19/17,13.82,11.54409739,4382.444062,13.49167,4384.391584,8.41709955,4310,245,4420,0,0,0
5/20/17,13.00,11.65486116,4382.554915,13.37674,4384.276541,8.741946747,4380,260,4510,0,0,0
5/21/17,14.25,11.85416667,4382.75409,13.46233,4384.362192,9.265555927,4470,272,4670,0,0,0
5/22/17,14.29,11.9027778,4382.802675,12.87813,4383.77809,9.113425976,4460,293,4690,0,0,0
5/23/17,13.51,11.92725702,4382.827162,12.12344,4383.023353,8.738877611,4450,301,4690,0,0,0
5/24/17,13.25,11.47361118,4382.373568,11.54792,4382.447885,10.26767221,4110,308,4340,0,0,0
5/25/17,13.93,11.23159725,4382.131454,11.41545,4382.315271,9.055316702,3910,314,4170,0,0,0
5/26/17,13.54,10.92673621,4381.82661,11.18229,4382.082115,9.453489,3720,315,3960,0,0,0
5/27/17,12.52,10.7953125,4381.695189,11,4381.899902,10.30988171,3640,314,3860,0,0,0
5/28/17,15.35,10.72899309,4381.628877,10.96181,4381.861708,10.75924563,3590,307,3830,0,0,0
5/29/17,12.60,10.68263903,4381.582536,10.85955,4381.759332,9.113332977,3570,306,3800,0,0,0
5/30/17,14.52,10.54635413,4381.446302,10.68594,4381.585815,9.719328669,3450,304,3690,0,0,0
5/31/17,13.50,10.39808688,4381.298004,10.58157,4381.481565,8.868161797,3330,296,3600,0,0,0
6/1/17,13.84,10.13281248,4381.032803,10.41302,4381.312838,9.47815031,3190,288,3430,0,0,0
6/2/17,13.44,10.17135428,4381.071322,10.38924,4381.28903,9.060821576,3220,278,3460,0,0,0
6/3/17,13.63,10.23020848,4381.130092,10.44531,4381.345215,9.135950442,3210,277,3490,0,0,0
6/4/17,12.77,10.27951378,4381.179416,10.50174,4381.40164,8.992657461,3250,278,3540,0,0,0
6/5/17,15.04,10.40260413,4381.302472,10.94167,4381.841632,9.403894474,3300,289,3620,0,0,0
6/6/17,13.89,10.78156515,4381.681464,11.47535,4382.375264,7.883873469,3550,308,3900,0,0,0
6/7/17,13.18,10.90138883,4381.801309,11.2566,4382.156469,8.142869777,3610,326,3970,0,0,0
6/8/17,12.50,10.75416665,4381.654071,11,4381.899902,9.153267849,3500,324,3860,0.01,0,0
6/9/17,14.14,10.72725712,4381.627115,10.85573,4381.755528,9.146215065,3440,307,3850,0,0,0
6/10/17,12.58,10.5574653,4381.457408,10.55191,4381.451898,9.64162548,3290,294,3690,0,0,0
6/11/17,14.09,10.30572906,4381.205577,10.47951,4381.379396,9.427811375,3190,285,3530,0.05,0,0
6/12/17,14.06,10.09062513,4380.990616,10.36719,4381.26696,9.393631569,3070,276,3390,0.06,0,0
6/13/17,14.27,9.877933974,4380.777809,10.32066,4381.220387,9.263847175,2940,269,3210,0,0,0
6/14/17,13.69,9.748802086,4380.648675,10.18351,4381.08336,8.798921354,2910,263,3120,0,0,0
6/15/17,13.21,9.593177087,4380.493095,10.09236,4380.9922,9.323719224,2790,271,3010,0,0,0
6/16/17,14.41,9.446996474,4380.346862,9.782813,4380.682723,8.695286271,2720,277,2930,0,0,0
6/17/17,12.65,9.57720486,4380.477119,9.627778,4380.527837,7.431733202,2790,296,3020,0,0,0
6/18/17,12.45,9.866579834,4380.76652,10.00903,4380.909125,8.671964638,2950,321,3210,0,0,0
6/19/17,13.46,10.22447924,4381.124398,10.31302,4381.213045,8.627745568,3150,354,3470,0,0,0
6/20/17,13.26,10.48055556,4381.380459,10.48924,4381.389128,8.322273547,3270,372,3610,0,0,0
6/21/17,12.32,10.34713051,4381.247078,10.30487,4381.204818,8.961262867,3200,348,3510,0,0,0
6/22/17,13.68,10.22777779,4381.127679,10.17951,4381.079505,9.719564053,3090,339,3420,0,0,0
6/23/17,13.54,9.873958343,4380.773863,9.787847,4380.687764,8.576065879,2880,314,3150,0,0,0
6/24/17,12.48,9.506874939,4380.406801,9.297049,4380.197046,10.34131983,2660,293,2920,0,0,0
6/25/17,13.85,9.428402725,4380.328317,9.283333,4380.183299,9.351566859,2600,284,2870,0,0,0
6/26/17,13.14,9.246979124,4380.146906,9.336979,4380.236874,8.265719399,2520,276,2740,0,0,0
6/27/17,12.87,9.336210445,4380.236107,9.594211,4380.494221,8.703830227,2560,274,2800,0,0,0
6/28/17,12.88,9.268298643,4380.168181,9.350347,4380.250327,8.035199534,2560,266,2760,0,0,0
6/29/17,12.93,8.931736102,4379.831629,8.830903,4379.730715,8.945587162,2290,249,2520,0,0,0
6/30/17,13.94,8.404305696,4379.304226,8.429167,4379.329081,8.340878058,2030,244,2230,0,0,0
7/1/17,12.44,8.162065936,4379.061963,8.148611,4379.048564,9.195616553,1880,239,2090,0,0,0
7/2/17,13.26,8.010781275,4378.91066,7.807465,4378.707342,8.528893423,1790,235,1980,0,0,0
7/3/17,12.99,7.644392389,4378.544266,7.516493,4378.416412,7.626356661,1660,231,1770,0,0,0
7/4/17,11.35,7.214704851,4378.114617,7.238368,4378.138279,8.877887188,1430,223,1550,0,0,0
7/5/17,12.66,6.930624955,4377.830573,6.850694,4377.750671,8.40683169,1290,219,1430,0,0,0
7/6/17,12.54,6.792256936,4377.692167,6.678472,4377.578428,9.627713065,1220,206,1360,0,0,0
7/7/17,12.61,6.729305539,4377.629225,6.634722,4377.534659,11.56450946,1170,207,1330,0,0,0
7/8/17,12.36,6.66486111,4377.564765,6.597222,4377.497197,10.83296983,1150,192,1300,0,0,0
7/9/17,13.29,6.546197965,4377.446051,6.532639,4377.432573,10.30824516,1120,186,1250,0,0,0
7/10/17,13.20,6.584131951,4377.484027,6.474653,4377.37453,8.943821445,1080,190,1270,0,0,0
7/11/17,12.22,6.343958331,4377.243863,6.341493,4377.241263,9.500896999,936,182,1160,0,0,0
7/12/17,12.93,6.064826381,4376.964737,6.323438,4377.223252,9.820345501,832,181,1050,0,0,0
7/13/17,13.21,5.776961842,4376.676827,5.901736,4376.801703,9.636324193,759,166,946,0,0,0
7/14/17,12.44,5.363888853,4376.263828,5.440972,4376.340817,9.007580805,603,159,804,0,0,0
7/15/17,12.03,5.108177083,4376.00808,5.155382,4376.05524,10.23461654,502,158,722,0,0,0
7/16/17,13.13,5.025270762,4375.925169,4.98231,4375.882196,9.370118933,487,159,699,0,0,0
7/17/17,11.78,5.268072911,4376.167981,5.075521,4375.975374,9.272429088,475,153,777,0,0,0
7/18/17,13.94,4.991701325,4375.891669,5.308854,4376.208722,12.66647303,441,147,676,0,0,0
7/19/17,12.46,4.82265627,4375.722538,4.965625,4375.865363,9.060769861,412,144,624,0,0,0
7/20/17,12.64,4.676597217,4375.576505,4.767014,4375.66685,9.160566101,397,138,601,0,0,0
7/21/17,12.55,4.492604194,4375.392479,4.603646,4375.503481,8.398455524,376,138,589,0,0,0
7/22/17,12.09,4.53387153,4375.433772,4.433507,4375.333344,8.768370332,376,132,607,0,0,0
7/23/17,12.66,4.505017356,4375.404925,4.531597,4375.43153,8.507749387,369,131,597,0,0,0
7/24/17,12.82,4.53515628,4375.435028,4.665625,4375.565689,8.104209445,377,128,604,0.02,0,0
7/25/17,12.96,4.440607636,4375.340513,4.502604,4375.402509,8.250745502,359,123,571,0,0,0
7/26/17,13.50,4.313524313,4375.213419,4.332986,4375.232725,9.806858066,349,126,523,0,0,0
7/27/17,12.42,4.243541626,4375.143486,4.26632,4375.166158,8.317891502,338,122,502,0,0,0
7/28/17,12.72,4.187343734,4375.087262,4.232118,4375.13209,8.254775401,326,122,479,0,0,0
7/29/17,11.86,4.286041665,4375.185946,4.256597,4375.156474,9.122187575,353,126,531,0.02,0,0
7/30/17,13.92,4.415677128,4375.315534,4.334722,4375.234623,9.697327263,357,139,568,0,0,0
7/31/17,12.88,4.396354156,4375.296267,4.392361,4375.292166,9.12618587,360,122,561,0,0,0
8/1/17,13.11,4.254878515,4375.154737,4.333507,4375.233247,10.15928222,329,112,511,0,0,0
8/2/17,13.10,4.223385366,4375.123339,4.3,4375.199707,11.53869431,318,108,499,0,0,0
8/3/17,12.70,4.264791653,4375.164708,4.3,4375.199707,9.577600693,331,107,521,0.03,0,0
8/4/17,13.34,4.278437483,4375.178357,4.302084,4375.201792,8.042215177,342,108,519,0,0,0
8/5/17,11.54,4.230329916,4375.130176,4.3,4375.199707,8.834888522,335,104,503,0,0,0
8/6/17,13.03,4.317708348,4375.217595,4.3,4375.199707,9.404192371,368,107,541,0.09,0,0
8/7/17,14.75,4.2999132,4375.19981,4.3,4375.199707,8.876949599,367,110,533,0,0,0
8/8/17,12.25,4.284876774,4375.184765,4.36831,4375.268084,7.968059162,362,103,528,0,0,0
8/9/17,12.54,4.264756925,4375.164679,4.331597,4375.231335,8.73762792,373,99.7,523,0.03,0,0
8/10/17,12.80,4.347343841,4375.247153,4.3,4375.199707,9.720501416,366,102,545,0,0,0
8/11/17,13.90,4.327222257,4375.227089,4.365625,4375.265396,8.832861885,367,96,539,0,0,0
8/12/17,11.98,4.268489556,4375.16842,4.4,4375.299805,8.561981198,365,93.9,522,0,0,0
8/13/17,12.44,4.25338536,4375.153346,4.4,4375.299805,9.209314003,359,92.7,522,0,0,0
8/14/17,13.67,4.329218787,4375.229083,4.4,4375.299805,9.170888729,372,89.1,555,0,0,0
8/15/17,12.99,4.335468764,4375.235357,4.467361,4375.367232,8.59914674,396,83.8,562,0,0,0
8/16/17,12.58,4.383506998,4375.283355,4.5,4375.399902,8.517327518,396,85.9,565,0,0,0
8/17/17,12.68,4.28458338,4375.184438,4.43559,4375.33543,9.101048406,392,82.4,530,0,0,0
8/18/17,13.44,4.310104269,4375.209902,4.463542,4375.363408,8.039991446,386,75.5,550,0,0,0
8/19/17,11.31,4.324010392,4375.223938,4.5,4375.399902,8.672290315,394,71.3,545,0,0,0
8/20/17,12.44,4.358333319,4375.25825,4.462674,4375.36254,9.393462137,397,74.6,564,0,0,0
8/21/17,14.10,4.462586842,4375.362451,4.467014,4375.366884,8.204301343,404,72.3,597,0,0,0
8/22/17,12.09,4.423020877,4375.322879,4.565625,4375.465591,7.944085289,404,83.2,566,0.01,0,0
8/23/17,12.82,4.492517403,4375.392377,4.667535,4375.567601,8.705321359,404,111,591,0,0,0
8/24/17,12.26,4.322291677,4375.222183,4.540104,4375.440046,9.284734537,384,87.6,529,0,0,0
8/25/17,13.40,4.291909792,4375.19174,4.4,4375.299805,10.54371566,381,75.7,524,0,0,0
8/26/17,12.39,4.285138876,4375.185054,4.4,4375.299805,9.632039436,389,71.1,522,0,0,0
8/27/17,12.11,4.340017381,4375.2399,4.451215,4375.351085,9.706998235,397,70.3,544,0,0,0
8/28/17,14.03,4.429913156,4375.329855,4.482986,4375.382872,9.457238606,399,66.9,567,0,0,0
8/29/17,12.74,4.292968723,4375.192899,4.433507,4375.333344,8.654791433,387,63.8,523,0,0,0
8/30/17,12.60,4.286684418,4375.186566,4.384397,4375.284202,8.536963898,380,60.5,517,0,0,0
8/31/17,13.05,4.254479186,4375.154362,4.333507,4375.233247,8.036658204,374,60.1,512,0,0,0
9/1/17,12.22,4.233489595,4375.13338,4.3,4375.199707,8.59059841,372,57.8,504,0,0,0
9/2/17,12.26,4.257656249,4375.15756,4.365278,4375.265049,8.666774762,384,56.7,514,0,0,0
9/3/17,13.09,4.29182298,4375.191661,4.319618,4375.21936,8.773845825,385,59.3,529,0,0,0
9/4/17,12.16,4.265572928,4375.165464,4.292535,4375.192242,9.118535319,386,58.8,518,0,0,0
9/5/17,14.66,4.237291647,4375.137215,4.22691,4375.126873,9.260001868,375,54.9,506,0.01,0,0
9/6/17,12.81,4.265520821,4375.165436,4.260243,4375.160077,9.227554405,395,57.7,521,0.01,0,0
9/7/17,12.68,4.322100774,4375.221921,4.365972,4375.265744,9.286548006,407,60,542,0.01,0,0
9/8/17,13.43,4.20800345,4375.107929,4.384722,4375.284527,9.352355165,371,59.2,497,0.02,0,0
9/9/17,12.96,4.251649333,4375.151524,4.448785,4375.348652,9.114572659,379,67.6,521,0,0,0
9/10/17,12.66,4.1945312,4375.094485,4.427257,4375.327096,9.670287792,362,66.8,496,0,0,0
9/11/17,13.89,4.231979184,4375.131864,4.384722,4375.284527,10.17419818,371,65.4,510,0.01,0,0
9/12/17,13.65,4.32986115,4375.229724,4.319792,4375.219533,9.24059863,386,63.3,514,0.23,0,0
9/13/17,12.96,4.51031249,4375.410225,4.422743,4375.322578,8.459805979,358,87.2,522,0.31,0,0
9/14/17,12.81,4.588593749,4375.488497,4.442708,4375.342562,9.626410725,349,103,547,0,0,0
