,"Plant Influent
[Plant Influent Total Flow]",Vista Gauge Level (feet),Vista Gauge Elevation (feet),Vista Gauge Predicted Max Level (feet),Vista Gauge Predicted Max Elevation (feet),Flow1 (cfs),Flow2 (cfs),Flow3 (cfs),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/20/17,31.05,6.59760415,4377.497528,7.09593745,4377.99589,1050,141,1290,0.17,1.7,0
1/21/17,29.82,6.32604168,4377.225926,7.07999992,4377.97998,975,111,1180,0,0,0
1/22/17,31.92,6.29012148,4377.190075,7.07999992,4377.97998,946,132,1180,0.69,7.6,5.1
1/23/17,31.47,6.25418406,4377.154056,7.06274298,4377.962719,884,159,1150,0,0,3.1
1/24/17,30.72,5.8867708,4376.78671,6.93534713,4377.835348,802,108,1010,0,0,3.1
1/25/17,30.29,5.53107636,4376.431006,6.64717008,4377.547133,700,85.4,888,0,0,2
1/26/17,29.98,5.43508679,4376.335003,6.51000023,4377.409668,671,80.1,856,0,0.1,2
1/27/17,29.81,5.21244791,4376.112361,6.41390635,4377.313703,589,73.6,783,0,0,1.2
1/28/17,28.94,5.0245312,4375.924482,6.13668399,4377.036628,538,68.8,726,0,0,0
1/29/17,30.46,4.98677078,4375.886729,5.88741324,4376.787272,525,67.4,713,0,0,0
1/30/17,31.03,4.94229159,4375.842275,6.0666666,4376.966634,510,68.6,699,0,0,0
1/31/17,27.65,4.87072915,4375.770652,6.19999981,4377.100098,492,70.2,677,0,0,0
2/1/17,28.89,4.8837847,4375.783705,6.08124992,4376.981232,493,69.6,681,0,0,0
2/2/17,28.35,4.8664063,4375.766257,6.16354151,4377.063604,488,69.8,675,0.01,0,0
2/3/17,28.56,5.38526036,4376.285225,6.51684026,4377.416757,704,92.5,860,0.06,0,0
2/4/17,27.86,6.22239591,4377.122217,8.12378488,4379.023527,893,158,1130,0,0,0
2/5/17,30.05,5.76710065,4376.667047,8.61250007,4379.512329,756,113,959,0,0,0
2/6/17,29.04,5.88774298,4376.787726,9.40416642,4380.304006,900,103,1020,0,0,0
2/7/17,29.35,9.8679861,4380.767921,12.4137154,4383.313649,2920,431,3320,0.31,0,0
2/8/17,30.20,12.22656249,4383.126418,14.39548625,4385.295416,4370,515,4830,0.01,0,0
2/9/17,29.01,14.85711814,4385.757028,16.13854182,4387.038411,6910,687,6830,0.25,0,0
2/10/17,41.92,16.78958335,4387.689519,17.22256937,4388.122492,7820,1090,8390,0.3,0,0
2/11/17,36.60,12.6819445,4383.581851,13.29791659,4384.197843,5320,583,5430,0,0,0
2/12/17,32.54,8.0607639,4378.960692,12.60590278,4383.505804,4960,347,4850,0,0,0
2/13/17,31.65,10.47621525,4381.376123,11.96649305,4382.866465,4580,235,4290,0,0,0
2/14/17,29.79,10.87256948,4381.772514,11.57517344,4382.475093,4150,183,3770,0,0,0
2/15/17,30.68,10.24173612,4381.141601,11.40538202,4382.305211,3700,186,3300,0,0,0
2/16/17,28.78,9.09607642,4379.996005,11.12760415,4382.027412,3120,152,2600,0,0,0
2/17/17,30.56,9.15272571,4380.052659,10.76562512,4381.665405,3130,160,2630,0.21,0,0
2/18/17,29.95,9.11532993,4380.015218,11.92135404,4382.821117,3100,156,2600,0.01,0,0
2/19/17,30.72,8.86817704,4379.768038,13.24583328,4384.14561,3000,130,2450,0,0,0
2/20/17,35.61,10.2069271,4381.106803,14.27881952,4385.178758,3720,327,3410,1.05,0,0
2/21/17,42.63,13.46597214,4384.36587,13.47135416,4384.371186,4560,826,5690,1.12,3.1,0
2/22/17,43.82,11.33802086,4382.237915,11.54982641,4382.449652,3690,491,4070,0.05,0.6,3.9
2/23/17,40.82,10.16980906,4381.069645,10.34270821,4381.2427,3450,283,3260,0.01,0,0
2/24/17,36.49,9.4492361,4380.349104,9.55694436,4380.456918,3140,208,2780,0,0,0
2/25/17,34.40,8.77635414,4379.676288,8.74791675,4379.647912,2840,157,2390,0.03,0.1,0
2/26/17,35.04,8.59475701,4379.494645,8.4378471,4379.337689,2740,140,2280,0,0,0
2/27/17,35.53,8.38496478,4379.28488,8.32922531,4379.229022,2600,133,2160,0,0,0
2/28/17,31.58,7.88954866,4378.78943,7.98767376,4378.887564,2350,111,1870,0,0,0
3/1/17,32.93,7.67515626,4378.575051,7.8510418,4378.750812,2250,102,1750,0,0,0
3/2/17,31.47,7.567916688,4378.467797,7.877083451,4378.776866,2200,99,1690,0,0,0
3/3/17,31.63,7.575503519,4378.475358,7.833680674,4378.733461,2190,99.4,1690,0,0,0
3/4/17,30.01,7.480243022,4378.38018,7.723784678,4378.623733,2140,101,1640,0,0,0
3/5/17,34.56,7.598194463,4378.498078,7.644097085,4378.54414,2160,131,1700,0.34,2.9,0
3/6/17,32.27,7.379635389,4378.279566,7.728124968,4378.62806,2080,112,1580,0,0,0
3/7/17,30.02,7.312882024,4378.212702,7.813020959,4378.712795,2050,105,1550,0,0,0
3/8/17,30.90,7.35338541,4378.253294,7.938368061,4378.838264,2060,133,1570,0,0,0
3/9/17,29.54,7.450972212,4378.350885,7.910416876,4378.810232,2110,140,1620,0,0,0
3/10/17,29.49,7.595989623,4378.495851,7.828298775,4378.728033,2180,143,1690,0,0,0
3/11/17,29.09,7.585277816,4378.485141,7.848784853,4378.748553,2190,139,1690,0,0,0
3/12/17,30.67,7.779474672,4378.679342,7.924275393,4378.824146,2270,141,1800,0,0,0
3/13/17,30.33,7.971961774,4378.871917,7.986111111,4378.886013,2390,140,1900,0,0,0
3/14/17,28.31,8.187881983,4379.087825,8.212847006,4379.112752,2540,145,2040,0,0,0
3/15/17,28.70,8.67701394,4379.576889,8.723958237,4379.623783,2840,160,2340,0,0,0
3/16/17,28.57,9.509878427,4380.409758,9.561632189,4380.461597,3300,197,2830,0,0,0
3/17/17,29.75,10.56232637,4381.462172,11.75156244,4382.651509,3990,197,3570,0,0,0
3/18/17,27.34,11.48263872,4382.382524,12.72812474,4383.628116,4510,195,4180,0,0,0
3/19/17,29.31,11.75169671,4382.651544,13.26799981,4384.168098,4620,200,4360,0,0,0
3/20/17,28.72,11.90034694,4382.800152,13.35711809,4384.257178,4740,211,4520,0,0,0
3/21/17,30.03,12.78784734,4383.687801,14.13663218,4385.036546,5550,252,5340,0.32,0,0
3/22/17,29.82,13.09565982,4383.995596,13.53663202,4384.436589,5540,218,5430,0,0,0
3/23/17,29.65,12.62760407,4383.527459,12.24097224,4383.140848,5290,183,5100,0,0,0
3/24/17,29.43,12.07638899,4382.976207,11.97239576,4382.87235,4910,166,4710,0,0,0
3/25/17,29.72,11.40746526,4382.307411,11.59704862,4382.497065,4450,162,4200,0,0,0
3/26/17,29.50,11.08229165,4381.982274,11.31093756,4382.210694,4280,167,3970,0.06,0,0
3/27/17,30.29,10.92413206,4381.824073,10.94704884,4381.846837,4150,165,3850,0.02,0,0
3/28/17,29.88,10.421875,4381.321764,10.92864611,4381.828478,3850,160,3500,0,0,0
3/29/17,29.54,10.09131962,4380.99126,10.75815997,4381.658183,3660,170,3290,0,0,0
3/30/17,29.92,10.52447927,4381.424344,10.87395852,4381.77391,3850,179,3620,0.13,0,0
3/31/17,29.05,10.47187501,4381.371741,10.63663214,4381.536548,3760,165,3530,0,0,0
4/1/17,30.33,10.25190973,4381.151805,10.60000038,4381.5,3680,163,3400,0,0,0
4/2/17,29.60,10.31284732,4381.212575,10.84427121,4381.74427,3740,174,3470,0,0,0
4/3/17,30.87,10.70121523,4381.60116,11.52569442,4382.425591,3900,188,3750,0,0,0
4/4/17,28.64,10.80798613,4381.707764,12.1873261,4383.087155,3900,198,3810,0,0,0
4/5/17,29.10,10.90052051,4381.800326,12.89913176,4383.799042,3990,195,3880,0,0,0
4/6/17,28.06,11.2954861,4382.195503,13.89184027,4384.791641,4360,262,4220,0.23,0,0
4/7/17,32.68,13.25104173,4384.150916,13.93993058,4384.839822,5690,531,5680,0.11,0,0
4/8/17,31.41,13.14756942,4384.047415,12.97725696,4383.877113,5390,505,5510,0.22,0,0
4/9/17,32.59,12.32135414,4383.221258,12.42291646,4383.322787,4730,277,4920,0,0,0
4/10/17,32.05,11.6703125,4382.570129,12.10329843,4383.003154,4250,223,4420,0,0,0
4/11/17,29.69,11.05555556,4381.955515,11.94143123,4382.841177,3890,206,3970,0,0,0
4/12/17,30.05,10.92847232,4381.828351,12.00329853,4382.903097,3900,205,3930,0.01,0,0
4/13/17,29.21,11.56684027,4382.466794,11.86041651,4382.760183,4300,212,4430,0.03,0,0
4/14/17,30.97,11.63739142,4382.537368,12.15704339,4383.056841,4220,207,4430,0,0,0
4/15/17,30.02,11.48715273,4382.387043,12.4178818,4383.317746,4130,197,4320,0,0,0
4/16/17,30.67,11.36684009,4382.266613,12.7144095,4383.614254,4130,197,4230,0.01,0,0
4/17/17,29.74,11.67187504,4382.57175,12.70833336,4383.60813,4290,206,4490,0,0,0
4/18/17,29.98,12.36527779,4383.265219,12.71701406,4383.616806,4780,203,5040,0.04,0,0
4/19/17,29.51,12.64565984,4383.545704,12.82708341,4383.726984,4980,200,5200,0,0,0
4/20/17,29.77,12.54548628,4383.445433,13.02934039,4383.929271,4890,206,5120,0,0,0
4/21/17,29.10,12.36006933,4383.259835,13.55815998,4384.457968,4740,218,4980,0,0,0
4/22/17,29.48,12.64913183,4383.54917,13.30972253,4384.209615,5080,232,5220,0,0,0
4/23/17,30.25,12.96684017,4383.86671,13.17482629,4384.074703,5230,220,5420,0,0,0
4/24/17,30.59,12.9746529,4383.87453,13.23229161,4384.13217,5180,208,5410,0,0,0
4/25/17,28.99,12.67579512,4383.575715,13.13816244,4384.038245,4900,205,5200,0,0,0
4/26/17,30.53,12.55642383,4383.456381,13.31770828,4384.217668,4890,219,5140,0,0,0
4/27/17,29.72,13.17048622,4384.070286,13.83298597,4384.732751,5410,229,5590,0.03,0,0
4/28/17,30.11,13.32743043,4384.227245,13.91788191,4384.817775,5510,233,5670,0,0,0
4/29/17,29.57,13.44149283,4384.341338,14.35364572,4385.253667,5650,235,5730,0,0,0
4/30/17,31.10,13.36631926,4384.266091,14.80624993,4385.706228,5590,233,5700,0,0,0
5/1/17,30.51,13.51076393,4384.410677,14.9635417,4385.863405,5700,244,5790,0,0,0
5/2/17,29.21,13.43906251,4384.338905,14.54947915,4385.449291,5640,254,5740,0,0,0
5/3/17,28.85,13.39201384,4384.291883,13.64861098,4384.548645,5590,258,5700,0,0,0
5/4/17,28.75,13.36052626,4384.260343,14.28333343,4385.183338,5610,262,5700,0,0,0
5/5/17,29.59,13.66180567,4384.561684,14.58298607,4385.482877,5850,283,5910,0,0,0
5/6/17,29.42,13.76024306,4384.660103,14.80729152,4385.707056,5770,362,5970,0.57,0,0
5/7/17,32.99,13.48003469,4384.379929,14.24756972,4385.147512,5480,431,5760,0.04,0,0
5/8/17,31.77,13.43663178,4384.336472,14.64236125,4385.542402,5600,349,5740,0,0,0
5/9/17,29.88,13.4749999,4384.374878,14.75277773,4385.652649,5650,276,5780,0,0,0
5/10/17,29.26,13.32829854,4384.228188,14.17378464,4385.073586,5520,277,5670,0,0,0
5/11/17,29.99,13.45902784,4384.358899,13.91614588,4384.815966,5680,292,5770,0,0,0
5/12/17,28.91,13.49218731,4384.392062,13.54513883,4384.445106,5680,293,5780,0,0,0
5/13/17,31.19,13.22831202,4384.128174,13.49709619,4384.39702,5420,298,5600,0,0,0
5/14/17,31.29,12.72118053,4383.621006,13.03472203,4383.934494,5050,303,5250,0,0,0
5/15/17,31.19,12.10434019,4383.004203,12.75694446,4383.65685,4610,301,4790,0,0,0
5/16/17,30.17,11.54045143,4382.440393,12.86145826,4383.761394,4300,284,4380,0,0,0
5/17/17,30.08,11.57395839,4382.473933,13.29895821,4384.198828,4270,269,4450,0,0,0
5/18/17,30.27,11.60000038,4382.5,13.49652794,4384.396473,4330,256,4450,0,0,0
5/19/17,29.79,11.54409739,4382.444062,13.49166672,4384.391584,4310,245,4420,0,0,0
5/20/17,29.12,11.65486116,4382.554915,13.37673573,4384.276541,4380,260,4510,0,0,0
5/21/17,30.48,11.85416667,4382.75409,13.46232625,4384.362192,4470,272,4670,0,0,0
5/22/17,29.96,11.9027778,4382.802675,12.87812524,4383.77809,4460,293,4690,0,0,0
5/23/17,29.11,11.92725702,4382.827162,12.1234377,4383.023353,4450,301,4690,0,0,0
5/24/17,28.93,11.47361118,4382.373568,11.54791692,4382.447885,4110,308,4340,0,0,0
5/25/17,29.50,11.23159725,4382.131454,11.41545123,4382.315271,3910,314,4170,0,0,0
5/26/17,29.12,10.92673621,4381.82661,11.18229159,4382.082115,3720,315,3960,0,0,0
5/27/17,28.30,10.7953125,4381.695189,11,4381.899902,3640,314,3860,0,0,0
5/28/17,31.44,10.72899309,4381.628877,10.96180556,4381.861708,3590,307,3830,0,0,0
5/29/17,28.87,10.68263903,4381.582536,10.8595487,4381.759332,3570,306,3800,0,0,0
5/30/17,30.17,10.54635413,4381.446302,10.68593772,4381.585815,3450,304,3690,0,0,0
5/31/17,28.88,10.39808688,4381.298004,10.5815656,4381.481565,3330,296,3600,0,0,0
6/1/17,29.38,10.13281248,4381.032803,10.41302093,4381.312838,3190,288,3430,0,0,0
6/2/17,28.90,10.17135428,4381.071322,10.38923622,4381.28903,3220,278,3460,0,0,0
6/3/17,29.25,10.23020848,4381.130092,10.4453125,4381.345215,3210,277,3490,0,0,0
6/4/17,28.82,10.27951378,4381.179416,10.50173612,4381.40164,3250,278,3540,0,0,0
6/5/17,30.63,10.40260413,4381.302472,10.94166691,4381.841632,3300,289,3620,0,0,0
6/6/17,29.20,10.78156515,4381.681464,11.47534728,4382.375264,3550,308,3900,0,0,0
6/7/17,28.67,10.90138883,4381.801309,11.2565971,4382.156469,3610,326,3970,0,0,0
6/8/17,27.73,10.75416665,4381.654071,11,4381.899902,3500,324,3860,0.01,0,0
6/9/17,29.71,10.72725712,4381.627115,10.8557292,4381.755528,3440,307,3850,0,0,0
6/10/17,28.36,10.5574653,4381.457408,10.55190959,4381.451898,3290,294,3690,0,0,0
6/11/17,30.28,10.30572906,4381.205577,10.47951381,4381.379396,3190,285,3530,0.05,0,0
6/12/17,30.61,10.09062513,4380.990616,10.36718739,4381.26696,3070,276,3390,0.06,0,0
6/13/17,30.23,9.877933974,4380.777809,10.32065979,4381.220387,2940,269,3210,0,0,0
6/14/17,29.45,9.748802086,4380.648675,10.18350709,4381.08336,2910,263,3120,0,0,0
6/15/17,28.71,9.593177087,4380.493095,10.09236116,4380.9922,2790,271,3010,0,0,0
6/16/17,29.94,9.446996474,4380.346862,9.782812532,4380.682723,2720,277,2930,0,0,0
6/17/17,28.24,9.57720486,4380.477119,9.627777808,4380.527837,2790,296,3020,0,0,0
6/18/17,28.05,9.866579834,4380.76652,10.00902759,4380.909125,2950,321,3210,0,0,0
6/19/17,29.09,10.22447924,4381.124398,10.31302071,4381.213045,3150,354,3470,0,0,0
6/20/17,28.65,10.48055556,4381.380459,10.4892359,4381.389128,3270,372,3610,0,0,0
6/21/17,27.81,10.34713051,4381.247078,10.30486936,4381.204818,3200,348,3510,0,0,0
6/22/17,29.09,10.22777779,4381.127679,10.17951384,4381.079505,3090,339,3420,0,0,0
6/23/17,28.98,9.873958343,4380.773863,9.787847166,4380.687764,2880,314,3150,0,0,0
6/24/17,27.82,9.506874939,4380.406801,9.297048529,4380.197046,2660,293,2920,0,0,0
6/25/17,29.34,9.428402725,4380.328317,9.283333222,4380.183299,2600,284,2870,0,0,0
6/26/17,28.62,9.246979124,4380.146906,9.336979194,4380.236874,2520,276,2740,0,0,0
6/27/17,28.22,9.336210445,4380.236107,9.594210521,4380.494221,2560,274,2800,0,0,0
6/28/17,28.11,9.268298643,4380.168181,9.350347021,4380.250327,2560,266,2760,0,0,0
6/29/17,27.98,8.931736102,4379.831629,8.830902588,4379.730715,2290,249,2520,0,0,0
6/30/17,28.94,8.404305696,4379.304226,8.429166747,4379.329081,2030,244,2230,0,0,0
7/1/17,27.51,8.162065936,4379.061963,8.148611324,4379.048564,1880,239,2090,0,0,0
7/2/17,28.40,8.010781275,4378.91066,7.807465303,4378.707342,1790,235,1980,0,0,0
7/3/17,28.40,7.644392389,4378.544266,7.516493039,4378.416412,1660,231,1770,0,0,0
7/4/17,26.60,7.214704851,4378.114617,7.238368048,4378.138279,1430,223,1550,0,0,0
7/5/17,27.70,6.930624955,4377.830573,6.850694372,4377.750671,1290,219,1430,0,0,0
7/6/17,27.53,6.792256936,4377.692167,6.67847217,4377.578428,1220,206,1360,0,0,0
7/7/17,27.48,6.729305539,4377.629225,6.634722189,4377.534659,1170,207,1330,0,0,0
7/8/17,27.50,6.66486111,4377.564765,6.597222152,4377.497197,1150,192,1300,0,0,0
7/9/17,28.42,6.546197965,4377.446051,6.532638858,4377.432573,1120,186,1250,0,0,0
7/10/17,28.23,6.584131951,4377.484027,6.474652802,4377.37453,1080,190,1270,0,0,0
7/11/17,27.30,6.343958331,4377.243863,6.341493185,4377.241263,936,182,1160,0,0,0
7/12/17,27.96,6.064826381,4376.964737,6.323437586,4377.223252,832,181,1050,0,0,0
7/13/17,28.22,5.776961842,4376.676827,5.901736048,4376.801703,759,166,946,0,0,0
7/14/17,27.40,5.363888853,4376.263828,5.440972279,4376.340817,603,159,804,0,0,0
7/15/17,26.80,5.108177083,4376.00808,5.155381987,4376.05524,502,158,722,0,0,0
7/16/17,28.19,5.025270762,4375.925169,4.982310486,4375.882196,487,159,699,0,0,0
7/17/17,26.98,5.268072911,4376.167981,5.075520881,4375.975374,475,153,777,0,0,0
7/18/17,29.14,4.991701325,4375.891669,5.3088542,4376.208722,441,147,676,0,0,0
7/19/17,27.56,4.82265627,4375.722538,4.96562516,4375.865363,412,144,624,0,0,0
7/20/17,27.63,4.676597217,4375.576505,4.767013954,4375.66685,397,138,601,0,0,0
7/21/17,27.48,4.492604194,4375.392479,4.603645899,4375.503481,376,138,589,0,0,0
7/22/17,27.20,4.53387153,4375.433772,4.433507008,4375.333344,376,132,607,0,0,0
7/23/17,27.80,4.505017356,4375.404925,4.531597192,4375.43153,369,131,597,0,0,0
7/24/17,27.84,4.53515628,4375.435028,4.665624842,4375.565689,377,128,604,0.02,0,0
7/25/17,27.85,4.440607636,4375.340513,4.502604164,4375.402509,359,123,571,0,0,0
7/26/17,28.36,4.313524313,4375.213419,4.33298627,4375.232725,349,126,523,0,0,0
7/27/17,27.23,4.243541626,4375.143486,4.266319507,4375.166158,338,122,502,0,0,0
7/28/17,27.55,4.187343734,4375.087262,4.232117987,4375.13209,326,122,479,0,0,0
7/29/17,27.05,4.286041665,4375.185946,4.256597247,4375.156474,353,126,531,0.02,0,0
7/30/17,28.82,4.415677128,4375.315534,4.334722224,4375.234623,357,139,568,0,0,0
7/31/17,27.68,4.396354156,4375.296267,4.392361206,4375.292166,360,122,561,0,0,0
8/1/17,27.53,4.254878515,4375.154737,4.333507103,4375.233247,329,112,511,0,0,0
8/2/17,27.84,4.223385366,4375.123339,4.300000191,4375.199707,318,108,499,0,0,0
8/3/17,27.75,4.264791653,4375.164708,4.300000191,4375.199707,331,107,521,0.03,0,0
8/4/17,27.96,4.278437483,4375.178357,4.302083522,4375.201792,342,108,519,0,0,0
8/5/17,26.37,4.230329916,4375.130176,4.300000191,4375.199707,335,104,503,0,0,0
8/6/17,28.64,4.317708348,4375.217595,4.300000191,4375.199707,368,107,541,0.09,0,0
8/7/17,30.03,4.2999132,4375.19981,4.300000191,4375.199707,367,110,533,0,0,0
8/8/17,27.31,4.284876774,4375.184765,4.368309985,4375.268084,362,103,528,0,0,0
8/9/17,27.54,4.264756925,4375.164679,4.331597383,4375.231335,373,99.7,523,0.03,0,0
8/10/17,27.98,4.347343841,4375.247153,4.300000191,4375.199707,366,102,545,0,0,0
8/11/17,28.97,4.327222257,4375.227089,4.365625128,4375.265396,367,96,539,0,0,0
8/12/17,27.25,4.268489556,4375.16842,4.400000095,4375.299805,365,93.9,522,0,0,0
8/13/17,27.92,4.25338536,4375.153346,4.400000095,4375.299805,359,92.7,522,0,0,0
8/14/17,28.69,4.329218787,4375.229083,4.400000095,4375.299805,372,89.1,555,0,0,0
8/15/17,27.63,4.335468764,4375.235357,4.467361142,4375.367232,396,83.8,562,0,0,0
8/16/17,27.15,4.383506998,4375.283355,4.5,4375.399902,396,85.9,565,0,0,0
8/17/17,27.38,4.28458338,4375.184438,4.435590339,4375.33543,392,82.4,530,0,0,0
8/18/17,28.14,4.310104269,4375.209902,4.463541701,4375.363408,386,75.5,550,0,0,0
8/19/17,26.31,4.324010392,4375.223938,4.5,4375.399902,394,71.3,545,0,0,0
8/20/17,27.74,4.358333319,4375.25825,4.462673647,4375.36254,397,74.6,564,0,0,0
8/21/17,29.10,4.462586842,4375.362451,4.46701392,4375.366884,404,72.3,597,0,0,0
8/22/17,26.88,4.423020877,4375.322879,4.565624937,4375.465591,404,83.2,566,0.01,0,0
8/23/17,27.83,4.492517403,4375.392377,4.667534562,4375.567601,404,111,591,0,0,0
8/24/17,27.20,4.322291677,4375.222183,4.540104128,4375.440046,384,87.6,529,0,0,0
8/25/17,28.44,4.291909792,4375.19174,4.400000095,4375.299805,381,75.7,524,0,0,0
8/26/17,27.69,4.285138876,4375.185054,4.400000095,4375.299805,389,71.1,522,0,0,0
8/27/17,27.66,4.340017381,4375.2399,4.451215309,4375.351085,397,70.3,544,0,0,0
8/28/17,29.22,4.429913156,4375.329855,4.482986127,4375.382872,399,66.9,567,0,0,0
8/29/17,27.69,4.292968723,4375.192899,4.433507008,4375.333344,387,63.8,523,0,0,0
8/30/17,27.69,4.286684418,4375.186566,4.384397258,4375.284202,380,60.5,517,0,0,0
8/31/17,28.02,4.254479186,4375.154362,4.333507103,4375.233247,374,60.1,512,0,0,0
9/1/17,27.03,4.233489595,4375.13338,4.300000191,4375.199707,372,57.8,504,0,0,0
9/2/17,27.20,4.257656249,4375.15756,4.365277906,4375.265049,384,56.7,514,0,0,0
9/3/17,27.88,4.29182298,4375.191661,4.319618213,4375.21936,385,59.3,529,0,0,0
9/4/17,27.80,4.265572928,4375.165464,4.292534913,4375.192242,386,58.8,518,0,0,0
9/5/17,29.78,4.237291647,4375.137215,4.226909662,4375.126873,375,54.9,506,0.01,0,0
9/6/17,27.60,4.265520821,4375.165436,4.260243123,4375.160077,395,57.7,521,0.01,0,0
9/7/17,27.63,4.322100774,4375.221921,4.36597235,4375.265744,407,60,542,0.01,0,0
9/8/17,28.34,4.20800345,4375.107929,4.384722317,4375.284527,371,59.2,497,0.02,0,0
9/9/17,28.14,4.251649333,4375.151524,4.448784756,4375.348652,379,67.6,521,0,0,0
9/10/17,28.09,4.1945312,4375.094485,4.427257006,4375.327096,362,66.8,496,0,0,0
9/11/17,28.74,4.231979184,4375.131864,4.384722317,4375.284527,371,65.4,510,0.01,0,0
9/12/17,28.25,4.32986115,4375.229724,4.319791824,4375.219533,386,63.3,514,0.23,0,0
9/13/17,27.90,4.51031249,4375.410225,4.422743122,4375.322578,358,87.2,522,0.31,0,0
9/14/17,27.71,4.588593749,4375.488497,4.442708381,4375.342562,349,103,547,0,0,0
9/15/17,29.10,4.501406262,4375.401296,4.458854206,4375.358716,366,73.1,527,0,0,0
9/16/17,27.32,4.482343704,4375.382294,4.4921875,4375.39209,364,70.6,517,0,0,0
9/17/17,28.71,4.474513847,4375.374459,4.4921875,4375.39209,347,71.7,507,0,0,0
9/18/17,27.92,4.4777083,4375.377645,4.5,4375.399902,360,67,512,0,0,0
9/19/17,28.88,4.540972319,4375.440776,4.761111173,4375.66095,380,65.3,536,0,0,0
9/20/17,27.26,4.434735908,4375.334646,4.685211237,4375.585145,347,67.4,493,0,0,0
9/21/17,28.34,4.538628472,4375.438531,4.559201325,4375.459169,368,73.1,544,0.09,0,0
9/22/17,27.80,4.570625042,4375.470484,4.528819417,4375.42875,383,80.3,546,0,0,0
9/23/17,28.22,4.553489645,4375.453328,4.599999905,4375.5,380,78.2,547,0,0,0
9/24/17,28.73,4.598281232,4375.498202,4.592013794,4375.492014,387,78.4,560,0,0,0
9/25/17,28.20,4.558489601,4375.458374,4.526736078,4375.426672,381,75.3,544,0,0,0
9/26/17,28.27,4.49333338,4375.393188,4.46875,4375.368652,395,66.8,551,0,0,0
9/27/17,26.54,4.458229182,4375.358116,4.4921875,4375.39209,395,65.7,547,0,0,0
9/28/17,28.25,4.430694395,4375.330648,4.484375,4375.384277,384,67.6,541,0,0,0
9/29/17,27.03,4.384965309,4375.284836,4.4223959,4375.32223,379,63.3,522,0,0,0
9/30/17,27.48,4.333055612,4375.2329,4.325520992,4375.22526,354,63.8,498,0,0,0
10/1/17,29.02,4.251284714,4375.151195,4.292534913,4375.192242,337,65.8,470,0,0,0
10/2/17,28.59,4.106892393,4375.006762,4.128645726,4375.028659,287,54.9,399,0,0,0
10/3/17,27.66,4.054652845,4374.954507,4.014930521,4374.914868,289,45.1,382,0,0,0
10/4/17,26.63,4.052274355,4374.952126,4.058506882,4374.958473,278,59.2,380,0,0,0
10/5/17,28.35,4.050138937,4374.949992,4.033680523,4374.933616,265,61.3,379,0,0,0
10/6/17,27.16,4.04458341,4374.944417,3.979166667,4374.879069,265,62.4,377,0,0,0
10/7/17,26.73,4.055555565,4374.955458,4.061805497,4374.961768,268,65.6,384,0,0,0
10/8/17,27.99,4.072916713,4374.972772,4.099999905,4375,270,62.7,392,0,0,0
10/9/17,28.87,4.139444411,4375.039381,4.085763794,4374.985764,300,59.9,419,0,0,0
10/10/17,28.28,4.172222131,4375.072218,4.099999905,4375,311,62.5,440,0,0,0
10/11/17,26.25,4.225104187,4375.124986,4.153992895,4375.054059,338,65.6,462,0,0,0
